"","gene","gene_chr","gene_start","gene_end","loci","loci_chr","loci_pos","cis_effect"
"1","AA467197","2",122636986,122641191,"2_122409463",2,122409463,1
"2","AA467197","2",122636986,122641191,"2_123551744",2,123551744,1
"3","Abhd16a","17",35089263,35102987,"17_34983742",17,34983742,1
"4","Abhd16a","17",35089263,35102987,"17_35070262",17,35070262,1
"5","Abracl","10",18011260,18023288,"10_17637038",10,17637038,1
"6","Abracl","10",18011260,18023288,"10_18298913",10,18298913,1
"7","Acd","8",105695860,105701102,"2_169399668",2,169399668,0
"8","Ada","2",163726584,163750239,"2_163405366.5",2,163405366.5,1
"9","Adrm1","2",180171485,180176286,"2_180864982",2,180864982,1
"10","Ahcyl2","6",29768011,29912310,"2_79235298.5",2,79235298.5,0
"11","Aim2","1",173350879,173466040,"1_173536054",1,173536054,1
"12","Aim2","1",173350879,173466040,"1_174321458.5",1,174321458.5,1
"13","Aip","19",4114446,4125858,"19_3355295.5",19,3355295.5,1
"14","Ap2m1","16",20535478,20544909,"2_84974555",2,84974555,0
"15","Apobec3","15",79891659,79915906,"15_79518120",15,79518120,1
"16","Apobec3","15",79891659,79915906,"15_80660179.5",15,80660179.5,1
"17","Arf5","6",28423560,28426602,"2_169688642",2,169688642,0
"18","Arf5","6",28423560,28426602,"2_170530533.5",2,170530533.5,0
"19","Arhgap15","2",43748824,44395953,"2_142444474",2,142444474,0
"20","Arl2bp","8",94666600,94674425,"2_84954715",2,84954715,0
"21","Arrdc4","7",68736995,68749241,"7_68556952",7,68556952,1
"22","Arrdc4","7",68736995,68749241,"7_69456931",7,69456931,1
"23","Asb2","12",103321142,103356001,"8_36787985",8,36787985,0
"24","Atp5c1","2",10056016,10080510,"2_169651663.5",2,169651663.5,0
"25","Atp5c1","2",10056016,10080510,"2_170642516",2,170642516,0
"26","Atp5d","10",80138632,80145818,"2_84974555",2,84974555,0
"27","Atp5d","10",80138632,80145818,"6_33590567",6,33590567,0
"28","Atp5d","10",80138632,80145818,"6_34431777",6,34431777,0
"29","Atp5j","16",84827866,84835625,"16_84148483",16,84148483,1
"30","Atp5l","9",44912557,44920742,"2_78855924",2,78855924,0
"31","Avl9","6",56714899,56761912,"6_55943475",6,55943475,1
"32","Avl9","6",56714899,56761912,"6_56504712",6,56504712,1
"33","Avl9","6",56714899,56761912,"6_57555909",6,57555909,1
"34","Azin1","15",38487427,38519266,"15_37534116",15,37534116,1
"35","Bag1","4",40936398,40948294,"4_40734382",4,40734382,1
"36","Bag1","4",40936398,40948294,"4_41250788",4,41250788,1
"37","Bbx","16",50191844,50432390,"16_50133236.5",16,50133236.5,1
"38","Bcap31","X",73686178,73716175,"6_35501301",6,35501301,0
"39","Bcap31","X",73686178,73716175,"6_36484412",6,36484412,0
"40","Bcl2a1d","9",88723285,88731914,"2_169701486",2,169701486,0
"41","Bcl2a1d","9",88723285,88731914,"2_170493114.5",2,170493114.5,0
"42","Bola2","7",126695401,126699798,"7_126474945.5",7,126474945.5,1
"43","Bola2","7",126695401,126699798,"7_127250454",7,127250454,1
"44","Bri3","5",144244437,144446757,"5_143980692",5,143980692,1
"45","Bri3","5",144244437,144446757,"5_144166095",5,144166095,1
"46","Bysl","17",47599331,47611492,"17_47742734.5",17,47742734.5,1
"47","Bysl","17",47599331,47611492,"17_48101590",17,48101590,1
"48","Bzw1","1",58392898,58407353,"2_169688642",2,169688642,0
"49","Bzw1","1",58392898,58407353,"2_170642516",2,170642516,0
"50","Calr","8",84841850,84846934,"2_84974555",2,84974555,0
"51","Calr","8",84841850,84846934,"6_33495954",6,33495954,0
"52","Calr","8",84841850,84846934,"6_34431777",6,34431777,0
"53","Car2","3",14886273,14900770,"3_14523993",3,14523993,1
"54","Cars","7",143557230,143600090,"14_46519624",14,46519624,0
"55","Ccdc59","10",105841067,105847833,"2_80537869",2,80537869,0
"56","Cct5","15",31590800,31601804,"15_31218232",15,31218232,1
"57","Cct5","15",31590800,31601804,"15_32469569",15,32469569,1
"58","Cd72","4",43446462,43454628,"4_42892748",4,42892748,1
"59","Cd72","4",43446462,43454628,"4_43365286",4,43365286,1
"60","Cd72","4",43446462,43454628,"4_44320820.5",4,44320820.5,1
"61","Celf2","2",6539694,7509563,"2_7635928",2,7635928,1
"62","Celf2","2",6539694,7509563,"2_8292506",2,8292506,1
"63","Ckb","12",111669361,111672338,"12_111729899",12,111729899,1
"64","Clint1","11",45851964,45910625,"11_45518090",11,45518090,1
"65","Cmip","8",117257064,117459430,"8_42296878",8,42296878,0
"66","Cnn2","10",79988584,79996062,"10_79788992",10,79788992,1
"67","Cnn2","10",79988584,79996062,"10_80554491.5",10,80554491.5,1
"68","Cox14","15",99725647,99729532,"2_85122984",2,85122984,0
"69","Cox5a","9",57521274,57532426,"2_169688642",2,169688642,0
"70","Cox5a","9",57521274,57532426,"2_170642516",2,170642516,0
"71","Cox7a2","9",79755361,79759878,"6_32696338",6,32696338,0
"72","Cox7a2","9",79755361,79759878,"6_33562641",6,33562641,0
"73","Cst3","2",148871722,148875692,"8_40493046",8,40493046,0
"74","Ctsd","7",142375911,142388038,"8_43064111",8,43064111,0
"75","Cyba","8",122424776,122432930,"8_121856500",8,121856500,1
"76","Cyba","8",122424776,122432930,"8_122102361.5",8,122102361.5,1
"77","Ddx21","10",62580251,62602281,"10_61902449.5",10,61902449.5,1
"78","Ddx21","10",62580251,62602281,"10_62428583",10,62428583,1
"79","Ddx21","10",62580251,62602281,"10_63383946.5",10,63383946.5,1
"80","Derl1","15",57869502,57892448,"15_57520542",15,57520542,1
"81","Derl1","15",57869502,57892448,"15_58342246",15,58342246,1
"82","Dnaja4","9",54698873,54716315,"9_54087062",9,54087062,1
"83","Dnajb9","12",44205559,44210326,"12_43612009",12,43612009,1
"84","Dnajb9","12",44205559,44210326,"12_44503723",12,44503723,1
"85","Dnajc7","11",100582818,100620188,"11_100973192",11,100973192,1
"86","Edf1","2",25557847,25562082,"2_84974555",2,84974555,0
"87","Eef1a1","9",78478449,78489151,"2_84974555",2,84974555,0
"88","Eef1a1","9",78478449,78489151,"2_169570760",2,169570760,0
"89","Eef1a1","9",78478449,78489151,"2_170642516",2,170642516,0
"90","Eif3b","5",140419328,140443360,"5_140680619.5",5,140680619.5,1
"91","Eif4a2","16",23107444,23114136,"16_23663019",16,23663019,1
"92","Eif4a2","16",23107444,23114136,"16_24096633",16,24096633,1
"93","Emc6","11",73175519,73177037,"8_43471583",8,43471583,0
"94","Emc6","11",73175519,73177037,"8_44300531",8,44300531,0
"95","Emg1","6",124704085,124712178,"6_124306336.5",6,124306336.5,1
"96","Erh","12",80634022,80644341,"12_79858463",12,79858463,1
"97","Fam107b","2",3570488,3782142,"2_169688642",2,169688642,0
"98","Fam107b","2",3570488,3782142,"2_170493114.5",2,170493114.5,0
"99","Fbxl3","14",103080239,103099566,"8_41717982",8,41717982,0
"100","Fgl2","5",21372642,21378374,"6_139448314",6,139448314,0
"101","Fgl2","5",21372642,21378374,"6_140524943",6,140524943,0
"102","Gabarap","11",69991143,69994951,"6_32740255.5",6,32740255.5,0
"103","Gabarap","11",69991143,69994951,"6_33562641",6,33562641,0
"104","Gbp4","5",105115767,105139586,"2_90641665",2,90641665,0
"105","Gbp4","5",105115767,105139586,"8_42317944",8,42317944,0
"106","Gimap1","6",48739054,48743795,"2_83390907",2,83390907,0
"107","Gimap7","6",48718621,48724636,"6_48514617",6,48514617,1
"108","Gimap7","6",48718621,48724636,"6_49355993",6,49355993,1
"109","Glo1","17",30584936,30626871,"17_30349626.5",17,30349626.5,1
"110","Gm16286","18",80206765,80212741,"8_43471583",8,43471583,0
"111","Gm16286","18",80206765,80212741,"8_44253141",8,44253141,0
"112","Gnai2","9",107614125,107635367,"2_84974555",2,84974555,0
"113","Gngt2","11",95837216,95845734,"11_95593787",11,95593787,1
"114","Gngt2","11",95837216,95845734,"11_96025584",11,96025584,1
"115","Golga7","8",23241346,23257074,"2_90616790",2,90616790,0
"116","Golga7","8",23241346,23257074,"8_42317944",8,42317944,0
"117","Gtf2b","3",142765045,142783606,"3_143593515.5",3,143593515.5,1
"118","H2-Q7","17",35439155,35443773,"17_34817504",17,34817504,1
"119","H2-Q7","17",35439155,35443773,"17_35308100",17,35308100,1
"120","H2-T23","17",36029773,36032855,"17_35503627",17,35503627,1
"121","H2-T23","17",36029773,36032855,"17_36552837.5",17,36552837.5,1
"122","Herpud1","8",94386438,94395377,"6_110453458",6,110453458,0
"123","Hint1","11",54866383,54870501,"2_84974555",2,84974555,0
"124","Hmox2","16",4726361,4766742,"16_5754358.5",16,5754358.5,1
"125","Hnrnpa1","15",103240432,103246692,"11_112422147",11,112422147,0
"126","Hnrnpf","6",117900324,117925622,"6_117842770.5",6,117842770.5,1
"127","Hnrnpf","6",117900324,117925622,"6_118474023",6,118474023,1
"128","Hnrnpr","4",136310942,136359447,"2_89845055",2,89845055,0
"129","Hnrnpul1","7",25721165,25754757,"7_24892905",7,24892905,1
"130","Hnrnpul1","7",25721165,25754757,"7_25225430",7,25225430,1
"131","Hopx","5",77086988,77115121,"5_76420894.5",5,76420894.5,1
"132","Hopx","5",77086988,77115121,"5_77476479.5",5,77476479.5,1
"133","Ifi27","12",103434211,103440239,"12_104398581.5",12,104398581.5,1
"134","Ifi47","11",49076587,49096974,"2_35756036",2,35756036,0
"135","Ifitm2","7",140954837,140955987,"7_140653195.5",7,140653195.5,1
